"Time","Subsystem #1|CTLs|Vars|P_POI1","Subsystem #1|CTLs|Vars|Ptot_Area1","Subsystem #1|CTLs|Vars|Q_POI1","Subsystem #1|CTLs|Vars|Qtot_Area1","Subsystem #1|Machines|DG|P_DG","Subsystem #1|Machines|DG|Q_DG","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1"
1.2416,2.376063619,3.663349199,0.2281439715,1.758755585,3.909751573,0.2087905067,0.1254711577,0.04234004307
1.248,3.13311577,3.691244513,-0.04671416309,1.782062902,3.145929737,0.695171128,0.1254075623,0.04270948776
1.2544,3.689714854,3.710200962,-0.2164181598,1.792997179,2.413375644,1.117540853,0.1273256921,0.04203001184
1.2608,3.758305756,3.721085535,-0.1781318774,1.802505982,1.809571297,1.438474081,0.1291388795,0.0410913194
1.2672,3.469994245,3.723863985,-0.04720297443,1.806202962,1.410721457,1.648292137,0.1305885604,0.0406435054
1.2736,2.876052045,3.721321269,0.2065609185,1.807053254,1.245574196,1.747955755,0.1308837304,0.04000799386
1.28,2.071992329,3.712175258,0.5433517015,1.803805706,1.322637295,1.735577226,0.1304565057,0.03920829102
1.2864,1.249214821,3.698097152,0.9063383772,1.797332794,1.600583884,1.628882344,0.1290141913,0.0384925371
1.2928,0.4719270756,3.680881265,1.288855554,1.788644284,2.017749133,1.445456384,0.1271830092,0.03755710663
1.2992,-0.1501132524,3.663197481,1.605194021,1.778993655,2.508135194,1.212515164,0.1254964367,0.03688053841
1.3056,-0.5703277749,3.648564817,1.82977078,1.77059496,2.999390753,0.9677855866,0.124074122,0.03656999369
1.312,-0.8010409462,3.638582704,1.942238736,1.764304713,3.439997692,0.7417736177,0.1232701499,0.0365879035
1.3184,-0.820467218,3.634980541,1.912062785,1.761119024,3.789725841,0.5670064948,0.1229820242,0.03709112783
1.3248,-0.6687479556,3.637469113,1.774901587,1.760971998,4.022162382,0.4647371814,0.1230078133,0.03781750211
1.3312,-0.373207827,3.644426699,1.543245506,1.762979645,4.129112923,0.442742716,0.123197792,0.03863116985
1.3376,0.06908153314,3.662575567,1.240176583,1.772879085,4.109324064,0.5018762889,0.1241254295,0.03953558388
1.344,0.5921153007,3.671887928,0.9065785881,1.776654479,3.961121239,0.6378545573,0.1251906424,0.04005515378
1.3504,1.108894877,3.683699437,0.6079553683,1.781745067,3.713539632,0.8245922873,0.1254363239,0.0404900739
1.3568,1.569739621,3.694989638,0.3735758325,1.787266952,3.401692843,1.035090226,0.1254471755,0.04060142815
1.3632,1.922692214,3.704438433,0.2127605955,1.792550783,3.067442972,1.242574866,0.1258164038,0.04038779786
