"Time","Subsystem #1|CTLs|Vars|BUS101_FRE","Subsystem #1|CTLs|Vars|V101RMS"
2.208,0.9999944164,1.010745259
2.2144,0.9999944164,1.011393087
2.2208,0.9999944164,1.011526733
2.2272,0.9999946829,1.01091644
2.2336,0.9999946829,1.010743271
2.24,0.9999975038,1.011310575
2.2464,0.9999975038,1.01168551
2.2528,0.9999975038,1.011203365
2.2592,1.000000179,1.010746247
2.2656,1.000000179,1.011126855
2.272,1.000000179,1.011657804
2.2784,1.000002167,1.011409762
2.2848,1.000002167,1.010770214
2.2912,1.000002513,1.010891677
2.2976,1.000002513,1.011479506
2.304,1.000002513,1.011505677
2.3104,1.00000105,1.010826571
2.3168,1.00000105,1.010657301
2.3232,1.00000105,1.011197838
2.3296,1.000000394,1.011473661
2.336,1.000000394,1.010897466
2.3424,1.000001004,1.010455134
2.3488,1.000001004,1.010850296
2.3552,1.000001004,1.011306996
2.3616,1.000001769,1.010942159
2.368,1.000001769,1.010301022
2.3744,1.000003151,1.010472436
2.3808,1.000003151,1.01102174
2.3872,1.000003151,1.010924129
2.3936,1.000004031,1.010206151
2.4,1.000004031,1.010108911
2.4064,1.000004031,1.010655998
2.4128,1.000003296,1.010825852
2.4192,1.000003296,1.010171961
2.4256,1.000002665,1.009804568
2.432,1.000002665,1.01025475
2.4384,1.000002665,1.010644455
2.4448,1.000002379,1.010178024
2.4512,1.000002379,1.009590789
2.4576,1.000001833,1.009856953
2.464,1.000001833,1.010387208
2.4704,1.000001833,1.010185868
2.4768,1.000002203,1.009480858
2.4832,1.000002203,1.00949826
2.4896,1.000002203,1.010073032
2.496,1.000002745,1.010157864
2.5024,1.000002745,1.009472025
2.5088,1.000002216,1.009215258
2.5152,1.000002216,1.00973347
2.5216,1.000002216,1.010072206
2.528,1.000001873,1.009543345
2.5344,1.000001873,1.009041407
2.5408,1.000001562,1.009405462
2.5472,1.000001562,1.009925288
2.5536,1.000001562,1.009654169
2.56,1.000000631,1.008995325
2.5664,1.000000631,1.00912464
2.5728,1.000000631,1.009726753
2.5792,1.000000503,1.009754024
2.5856,1.000000503,1.009072809
2.592,1.000000739,1.008922582
2.5984,1.000000739,1.009497105
2.6048,1.000000739,1.009801017
2.6112,1.000000245,1.009245016
2.6176,1.000000245,1.008826708
2.624,1.000000181,1.009265343
2.6304,1.000000181,1.009775798
2.6368,1.000000181,1.009462833
2.6432,1.000000175,1.008854085
2.6496,1.000000175,1.009065277
2.656,1.000000175,1.009681359
2.6624,0.9999994103,1.009667979
2.6688,0.9999994103,1.009001626
2.6752,0.9999992974,1.008929072
2.6816,0.9999992974,1.009535982
2.688,0.9999992974,1.009809759
2.6944,0.9999995137,1.009239274
2.7008,0.9999995137,1.008882907
2.7072,0.9999990987,1.009366291
2.7136,0.9999990987,1.009860126
2.72,0.9999990987,1.009513797
2.7264,0.9999992618,1.008941966
2.7328,0.9999992618,1.009204142
2.7392,0.9999992618,1.009817296
2.7456,0.9999995753,1.009763034
2.752,0.9999995753,1.0091041
2.7584,0.9999991169,1.009082276
2.7648,0.9999991169,1.009699663
2.7712,0.9999991169,1.009934465
2.7776,0.9999992232,1.009343305
2.784,0.9999992232,1.009029329
2.7904,0.9999995734,1.0095361
2.7968,0.9999995734,1.009999277
2.8032,0.9999995734,1.009610731
2.8096,0.9999992569,1.009063483
2.816,0.9999992569,1.00936004
2.8224,0.9999992569,1.009955132
2.8288,0.9999995407,1.009846985
2.8352,0.9999995407,1.009186555
2.8416,1.000000015,1.009205475
2.848,1.000000015,1.009820689
2.8544,1.000000015,1.010000891
2.8608,0.9999997266,1.009379102
2.8672,0.9999997266,1.009103738
2.8736,0.9999999672,1.009626483
2.88,0.9999999672,1.010044244
2.8864,0.9999999672,1.009600527
2.8928,1.000000386,1.009077904
2.8992,1.000000386,1.009408327
2.9056,1.000000386,1.009974924
2.912,1.000000078,1.009798116
2.9184,1.000000078,1.009136673
2.9248,1.000000339,1.009202469
2.9312,1.000000339,1.009811371
2.9376,1.000000339,1.009923131
2.944,1.000000785,1.009268762
2.9504,1.000000785,1.009042771
2.9568,1.000000474,1.009583931
2.9632,1.000000474,1.009945983
2.9696,1.000000474,1.00944187
2.976,1.000000689,1.008956385
2.9824,1.000000689,1.009328822
2.9888,1.000000689,1.009861691
2.9952,1.000001058,1.009609136
3.0016,1.000001058,1.008958294
3.008,1.000000671,1.009083473
3.0144,1.000000671,1.009686045
3.0208,1.000000671,1.009722812
3.0272,1.00000083,1.009044869
3.0336,1.00000083,1.008883569
3.04,1.000001164,1.009447389
3.0464,1.000001164,1.009749424
3.0528,1.000001164,1.009190768
3.0592,1.000000749,1.008759013
3.0656,1.000000749,1.009180513
3.072,1.000000749,1.009677873
3.0784,1.000000874,1.009352747
3.0848,1.000000874,1.008728985
3.0912,1.000001159,1.00892229
3.0976,1.000001159,1.009518448
3.104,1.000001159,1.009481685
3.1104,1.000000689,1.00879533
3.1168,1.000000689,1.008708815
3.1232,1.000000689,1.009295771
3.1296,1.000000767,1.009538213
3.136,1.000000767,1.008937816
3.1424,1.000001019,1.008571474
3.1488,1.000001019,1.009042329
3.1552,1.000001019,1.009503491
3.1616,1.000000533,1.00911544
3.168,1.000000533,1.008532066
3.1744,1.000000603,1.008793622
3.1808,1.000000603,1.009381046
3.1872,1.000000603,1.009276765
3.1936,1.000000847,1.00859609
3.2,1.000000847,1.00858531
3.2064,1.000000847,1.009191
3.2128,1.000000352,1.009376095
3.2192,1.000000352,1.008747076
3.2256,1.000000414,1.008449379
3.232,1.000000414,1.008963312
3.2384,1.000000414,1.009386877
3.2448,1.000000655,1.008946041
3.2512,1.000000655,1.00840944
3.2576,1.000000167,1.008732261
3.264,1.000000167,1.009306136
3.2704,1.000000167,1.009140104
3.2768,1.000000245,1.008473977
3.2832,1.000000245,1.008533086
3.2896,1.000000245,1.009149862
3.296,1.000000506,1.009278617
3.3024,1.000000506,1.008630123
3.3088,1.000000038,1.008398266
3.3152,1.000000038,1.0089459
3.3216,1.000000038,1.009328603
3.328,1.000000135,1.008841735
3.3344,1.000000135,1.008353079
3.3408,1.000000414,1.008727711
3.3472,1.000000414,1.009281507
3.3536,1.000000414,1.009056327
3.36,0.9999999657,1.008409099
3.3664,0.9999999657,1.008530553
3.3728,0.9999999657,1.009149905
3.3792,1.000000084,1.009220542
3.3856,1.000000084,1.008557696
3.392,1.000000386,1.008387723
3.3984,1.000000386,1.00896003
3.4048,1.000000386,1.00929664
3.4112,0.9999999603,1.008766926
3.4176,0.9999999603,1.008326409
3.424,1.000000099,1.008744917
3.4304,1.000000099,1.009271421
3.4368,1.000000099,1.008986702
3.4432,1.000000417,1.008361618
3.4496,1.000000417,1.008540121
3.456,1.000000417,1.009154308
3.4624,1.000000004,1.009162919
3.4688,1.000000004,1.008489644
3.4752,1.000000154,1.008379993
3.4816,1.000000154,1.008970034
3.488,1.000000154,1.009254376
3.4944,1.000000481,1.008683919
3.5008,1.000000481,1.00829382
3.5072,1.000000075,1.008751206
3.5136,1.000000075,1.00924352
3.52,1.000000075,1.008898205
3.5264,1.00000023,1.008300225
3.5328,1.00000023,1.008533666
3.5392,1.00000023,1.009136319
3.5456,1.000000558,1.009078928
3.552,1.000000558,1.008400668
3.5584,1.000000151,1.00835271
3.5648,1.000000151,1.00895552
3.5712,1.000000151,1.009181974
3.5776,1.000000303,1.008574463
3.584,1.000000303,1.008239591
3.5904,1.000000625,1.00873292
3.5968,1.000000625,1.009185138
3.6032,1.000000625,1.008779929
3.6096,1.000000211,1.008216296
3.616,1.000000211,1.008504262
3.6224,1.000000211,1.009090158
3.6288,1.000000355,1.008964623
3.6352,1.000000355,1.008289233
3.6416,1.000000669,1.008305482
3.648,1.000000669,1.008917005
3.6544,1.000000669,1.00908161
3.6608,1.000000245,1.008443445
3.6672,1.000000245,1.008169372
3.6736,1.00000038,1.008696018
3.68,1.00000038,1.009103507
3.6864,1.00000038,1.008641941
3.6928,1.000000682,1.008120746
3.6992,1.000000682,1.008462408
3.7056,1.000000682,1.009026952
3.712,1.000000249,1.008833687
3.7184,1.000000249,1.008170376
3.7248,1.000000374,1.008252324
3.7312,1.000000374,1.008868316
3.7376,1.000000374,1.008969033
3.744,1.000000668,1.008308591
3.7504,1.000000668,1.008099599
3.7568,1.000000227,1.008655933
3.7632,1.000000227,1.009015101
3.7696,1.000000227,1.008502993
3.776,1.000000346,1.008031322
3.7824,1.000000346,1.0084241
3.7888,1.000000346,1.008962819
3.7952,1.000000633,1.008704286
3.8016,1.000000633,1.008061951
3.808,1.000000188,1.00820882
3.8144,1.000000188,1.008824374
