"Time","Subsystem #1|CTLs|Vars|Tm","Subsystem #1|CTLs|Vars|WPU"
0.03545,0.0,1.01571555
0.0355,0.0,1.015715497
0.03555,0.0,1.015715443
0.0356,0.0,1.015715389
0.03565,0.0,1.015715335
0.0357,0.0,1.015715281
0.03575,0.0,1.015715227
0.0358,0.0,1.015715174
0.03585,0.0,1.01571512
0.0359,0.0,1.015715066
0.03595,0.0,1.015715012
0.036,0.0,1.015714958
0.03605,0.0,1.015714904
0.0361,0.0,1.015714851
0.03615,0.0,1.015714797
0.0362,0.0,1.015714743
0.03625,0.0,1.015714689
0.0363,0.0,1.015714635
0.03635,0.0,1.015714581
0.0364,0.0,1.015714528
0.03645,0.0,1.015714474
0.0365,0.0,1.01571442
0.03655,0.0,1.015714366
0.0366,0.0,1.015714312
0.03665,0.0,1.015714258
0.0367,0.0,1.015714205
0.03675,0.0,1.015714151
0.0368,0.0,1.015714097
0.03685,0.0,1.015714043
0.0369,0.0,1.015713989
0.03695,0.0,1.015713935
0.037,0.0,1.015713882
0.03705,0.0,1.015713828
0.0371,0.0,1.015713774
0.03715,0.0,1.01571372
0.0372,0.0,1.015713666
0.03725,0.0,1.015713612
0.0373,0.0,1.015713559
0.03735,0.0,1.015713505
0.0374,0.0,1.015713451
0.03745,0.0,1.015713397
0.0375,0.0,1.015713343
0.03755,0.0,1.015713289
0.0376,0.0,1.015713236
0.03765,0.0,1.015713182
0.0377,0.0,1.015713128
0.03775,0.0,1.015713074
0.0378,0.0,1.01571302
0.03785,0.0,1.015712966
0.0379,0.0,1.015712913
0.03795,0.0,1.015712859
0.038,0.0,1.015712805
0.03805,0.0,1.015712751
0.0381,0.0,1.015712697
0.03815,0.0,1.015712643
0.0382,0.0,1.01571259
0.03825,0.0,1.015712536
0.0383,0.0,1.015712482
0.03835,0.0,1.015712428
0.0384,0.0,1.015712374
0.03845,0.0,1.01571232
0.0385,0.0,1.015712267
0.03855,0.0,1.015712213
0.0386,0.0,1.015712159
0.03865,0.0,1.015712105
0.0387,0.0,1.015712051
0.03875,0.0,1.015711997
0.0388,0.0,1.015711944
0.03885,0.0,1.01571189
0.0389,0.0,1.015711836
0.03895,0.0,1.015711782
0.039,0.0,1.015711728
0.03905,0.0,1.015711675
0.0391,0.0,1.015711621
0.03915,0.0,1.015711567
0.0392,0.0,1.015711513
0.03925,0.0,1.015711459
0.0393,0.0,1.015711405
0.03935,0.0,1.015711352
0.0394,0.0,1.015711298
0.03945,0.0,1.015711244
0.0395,0.0,1.01571119
0.03955,0.0,1.015711136
0.0396,0.0,1.015711082
0.03965,0.0,1.015711029
0.0397,0.0,1.015710975
0.03975,0.0,1.015710921
0.0398,0.0,1.015710867
0.03985,0.0,1.015710813
0.0399,0.0,1.015710759
0.03995,0.0,1.015710706
0.04,0.0,1.015710652
0.04005,0.0,1.015710598
0.0401,0.0,1.015710544
0.04015,0.0,1.01571049
0.0402,0.0,1.015710436
0.04025,0.0,1.015708639
0.0403,0.0,1.015705618
0.04035,0.0,1.015701402
0.0404,0.0,1.015696014
0.04045,0.0,1.015689479
0.0405,0.0,1.015681816
0.04055,0.0,1.015673051
0.0406,0.0,1.015663203
0.04065,0.0,1.015652295
0.0407,0.0,1.015640346
0.04075,0.0,1.015627378
0.0408,0.0,1.01561341
0.04085,0.0,1.015598464
0.0409,0.0,1.015582557
0.04095,0.0,1.01556571
0.041,0.0,1.015547939
0.04105,0.0,1.015529266
0.0411,0.0,1.015509708
0.04115,0.0,1.015489282
0.0412,0.0,1.015468006
0.04125,0.0,1.015445899
0.0413,0.0,1.015422976
0.04135,0.0,1.015399256
0.0414,0.0,1.015374754
0.04145,0.0,1.015349488
0.0415,0.0,1.015323473
0.04155,0.0,1.015296727
0.0416,0.0,1.015269263
0.04165,0.0,1.015241098
0.0417,0.0,1.015212248
0.04175,0.0,1.015182728
0.0418,0.0,1.015152552
0.04185,0.0,1.015121737
0.0419,0.0,1.015090294
0.04195,0.0,1.015058241
0.042,0.0,1.015025589
0.04205,0.0,1.014992355
0.0421,0.0,1.014958551
0.04215,0.0,1.014924191
0.0422,0.0,1.014889289
0.04225,0.0,1.014853859
0.0423,0.0,1.014817915
0.04235,0.0,1.014781473
0.0424,0.0,1.014744547
0.04245,0.0,1.014707154
0.0425,0.0,1.014669307
0.04255,0.0,1.014631025
0.0426,0.0,1.014592323
0.04265,0.0,1.014553219
0.0427,0.0,1.01451373
0.04275,0.0,1.014473874
0.0428,0.0,1.014433668
0.04285,0.0,1.014393133
0.0429,0.0,1.014352286
0.04295,0.0,1.01431115
0.043,0.0,1.014269742
0.04305,0.0,1.014228085
0.0431,0.0,1.014186199
0.04315,0.0,1.014144108
0.0432,0.0,1.014101834
0.04325,0.0,1.014059399
0.0433,0.0,1.014016829
0.04335,0.0,1.013974147
0.0434,0.0,1.013931378
0.04345,0.0,1.013888548
0.0435,0.0,1.013845684
0.04355,0.0,1.013802814
0.0436,0.0,1.013759963
0.04365,0.0,1.013717162
0.0437,0.0,1.013674437
0.04375,0.0,1.013631821
0.0438,0.0,1.013589341
0.04385,0.0,1.013547029
0.0439,0.0,1.013504915
0.04395,0.0,1.013463032
0.044,0.0,1.01342141
0.04405,0.0,1.013380082
0.0441,0.0,1.01333908
0.04415,0.0,1.013298437
0.0442,0.0,1.013258184
0.04425,0.0,1.013218355
0.0443,0.0,1.01317898
0.04435,0.0,1.013140092
0.0444,0.0,1.01310172
0.04445,0.0,1.013063896
0.0445,0.0,1.013026649
0.04455,0.0,1.012990006
0.0446,0.0,1.012953993
0.04465,0.0,1.012918637
0.0447,0.0,1.012883959
0.04475,0.0,1.012849981
0.0448,0.0,1.012816722
0.04485,0.0,1.012784198
0.0449,0.0,1.012752423
0.04495,0.0,1.012721407
0.045,0.0,1.012691158
0.04505,0.0,1.012661682
0.0451,0.0,1.012632979
0.04515,0.0,1.012605048
0.0452,0.0,1.012577885
