,0,1
860,1.19,4.32
861,1.19,4.32
862,1.19,4.31
863,1.14,4.29
864,1.15,4.29
865,1.15,4.29
866,1.16,4.29
867,1.16,4.29
868,1.17,4.28
869,1.17,4.28
870,1.17,4.28
871,1.18,4.28
872,1.18,4.27
873,1.18,4.27
874,1.18,4.26
875,1.19,4.25
876,1.19,4.25
877,1.19,4.24
878,1.19,4.24
879,1.19,4.23
880,1.19,4.23
881,1.19,4.22
882,1.19,4.21
883,1.19,4.21
884,1.19,4.2
885,1.2,4.2
886,1.2,4.19
887,1.2,4.19
888,1.2,4.18
889,1.2,4.17
890,1.2,4.17
891,1.2,4.16
892,1.2,4.16
893,1.2,4.15
894,1.2,4.15
895,1.2,4.14
896,1.2,4.14
897,1.2,4.13
898,1.2,4.12
899,1.2,4.12
900,1.2,4.11
901,1.2,4.11
902,1.2,4.1
903,1.2,4.1
904,1.2,4.09
905,1.2,4.09
906,1.21,4.08
907,1.21,4.07
908,1.21,4.07
909,1.21,4.06
910,1.21,4.06
911,1.21,4.05
912,1.21,4.05
913,1.21,4.04
914,1.21,4.04
915,1.21,4.03
916,1.21,4.03
917,1.21,4.02
918,1.21,4.01
919,1.21,4.01
920,1.21,4.0
921,1.21,4.0
922,1.19,3.98
923,1.16,3.97
924,1.17,3.97
925,1.18,3.97
926,1.18,3.97
927,1.19,3.97
928,1.19,3.96
929,1.2,3.96
930,1.2,3.96
931,1.2,3.95
932,1.21,3.95
933,1.21,3.94
934,1.21,3.94
935,1.21,3.93
936,1.21,3.92
937,1.21,3.92
938,1.21,3.91
939,1.21,3.91
940,1.21,3.9
941,1.22,3.9
942,1.22,3.89
943,1.22,3.89
944,1.22,3.88
945,1.22,3.88
946,1.22,3.87
947,1.22,3.87
948,1.22,3.86
949,1.22,3.86
950,1.22,3.85
951,1.22,3.85
952,1.22,3.84
953,1.22,3.84
954,1.22,3.83
955,1.22,3.83
956,1.22,3.82
957,1.22,3.82
958,1.22,3.81
959,1.23,3.81
960,1.23,3.8
961,1.23,3.8
962,1.23,3.79
963,1.23,3.79
964,1.23,3.78
965,1.23,3.78
966,1.23,3.77
967,1.23,3.77
968,1.23,3.76
969,1.19,3.74
970,1.19,3.74
971,1.2,3.74
972,1.2,3.74
973,1.21,3.74
974,1.21,3.74
975,1.22,3.73
976,1.22,3.73
977,1.22,3.73
978,1.22,3.72
979,1.22,3.72
980,1.23,3.71
981,1.23,3.71
982,1.23,3.7
983,1.23,3.7
984,1.23,3.69
985,1.23,3.69
986,1.23,3.68
987,1.23,3.68
988,1.23,3.67
989,1.23,3.67
990,1.24,3.66
991,1.24,3.66
992,1.24,3.65
993,1.24,3.65
994,1.24,3.64
995,1.24,3.64
996,1.24,3.63
997,1.24,3.63
998,1.24,3.62
999,1.24,3.62
1000,1.24,3.61
1001,1.24,3.61
1002,1.24,3.6
1003,1.24,3.6
1004,1.24,3.59
1005,1.24,3.59
1006,1.24,3.58
1007,1.25,3.58
1008,1.25,3.57
1009,1.25,3.57
1010,1.25,3.56
1011,1.25,3.56
1012,1.25,3.55
1013,1.25,3.55
1014,1.25,3.54
1015,1.25,3.54
1016,1.25,3.53
1017,1.25,3.53
1018,1.25,3.52
1019,1.24,3.52
1020,1.25,3.51
1021,1.25,3.51
1022,1.25,3.5
1023,1.25,3.5
1024,1.25,3.49
1025,1.25,3.49
1026,1.25,3.48
1027,1.26,3.48
1028,1.26,3.47
1029,1.26,3.47
1030,1.26,3.46
1031,1.26,3.45
1032,1.26,3.45
1033,1.26,3.44
1034,1.26,3.44
1035,1.26,3.43
1036,1.26,3.43
1037,1.26,3.42
1038,1.26,3.42
1039,1.26,3.41
1040,1.26,3.41
1041,1.26,3.4
1042,1.26,3.4
1043,1.26,3.39
1044,1.26,3.39
1045,1.27,3.38
1046,1.27,3.38
1047,1.27,3.37
1048,1.27,3.36
1049,1.27,3.36
1050,1.27,3.35
1051,1.27,3.35
1052,1.27,3.34
1053,1.27,3.34
1054,1.27,3.33
1055,1.27,3.33
1056,1.27,3.32
1057,1.27,3.32
1058,1.27,3.31
1059,1.27,3.31
1060,1.27,3.3
1061,1.27,3.3
1062,1.28,3.29
1063,1.28,3.29
1064,1.28,3.28
1065,1.28,3.28
1066,1.28,3.27
1067,1.28,3.27
1068,1.28,3.26
1069,1.28,3.25
1070,1.24,3.25
1071,1.25,3.25
1072,1.25,3.25
1073,1.25,3.24
1074,1.26,3.24
1075,1.26,3.23
1076,1.26,3.23
1077,1.27,3.23
1078,1.27,3.22
1079,1.27,3.22
1080,1.27,3.21
1081,1.27,3.21
1082,1.28,3.2
1083,1.28,3.2
1084,1.28,3.19
1085,1.28,3.19
1086,1.28,3.18
1087,1.28,3.18
1088,1.28,3.17
1089,1.28,3.17
1090,1.28,3.16
1091,1.29,3.16
1092,1.29,3.15
1093,1.29,3.15
1094,1.29,3.14
1095,1.29,3.14
1096,1.29,3.13
1097,1.29,3.13
1098,1.29,3.12
1099,1.29,3.12
1100,1.29,3.11
1101,1.29,3.11
1102,1.29,3.1
1103,1.29,3.1
1104,1.29,3.09
1105,1.29,3.09
1106,1.29,3.08
1107,1.29,3.08
1108,1.29,3.07
1109,1.29,3.07
1110,1.3,3.06
1111,1.3,3.06
1112,1.21,3.05
1113,1.21,3.05
1114,1.21,3.05
1115,1.22,3.05
1116,1.22,3.05
1117,1.23,3.05
1118,1.23,3.05
1119,1.24,3.05
1120,1.24,3.05
1121,1.24,3.05
1122,1.25,3.05
1123,1.25,3.05
1124,1.25,3.05
1125,1.26,3.04
1126,1.26,3.04
1127,1.27,3.04
1128,1.27,3.03
1129,1.27,3.03
1130,1.28,3.03
1131,1.28,3.02
1132,1.28,3.02
1133,1.28,3.02
1134,1.29,3.01
1135,1.29,3.01
1136,1.29,3.0
1137,1.29,3.0
1138,1.29,3.0
1139,1.29,2.99
1140,1.3,2.99
1141,1.3,2.98
1142,1.3,2.98
1143,1.3,2.97
1144,1.3,2.97
1145,1.3,2.96
1146,1.3,2.96
1147,1.3,2.95
1148,1.3,2.95
1149,1.3,2.94
1150,1.3,2.94
1151,1.3,2.93
1152,1.3,2.93
1153,1.31,2.93
1154,1.31,2.92
1155,1.31,2.92
1156,1.31,2.91
1157,1.31,2.91
1158,1.31,2.9
1159,1.31,2.9
1160,1.31,2.89
1161,1.31,2.89
1162,1.31,2.88
1163,1.31,2.88
1164,1.31,2.87
1165,1.31,2.87
1166,1.31,2.86
1167,1.31,2.86
1168,1.31,2.85
1169,1.31,2.85
1170,1.31,2.84
1171,1.31,2.84
1172,1.31,2.83
1173,1.31,2.83
1174,1.31,2.82
1175,1.32,2.82
1176,1.31,2.81
1177,1.32,2.81
1178,1.32,2.8
1179,1.32,2.8
1180,1.32,2.79
1181,1.32,2.79
1182,1.32,2.78
1183,1.32,2.78
1184,1.32,2.77
1185,1.32,2.77
1186,1.28,2.75
1187,1.28,2.75
1188,1.28,2.75
1189,1.29,2.75
1190,1.29,2.75
1191,1.3,2.75
1192,1.3,2.75
1193,1.3,2.75
1194,1.31,2.74
1195,1.31,2.74
1196,1.31,2.73
1197,1.31,2.73
1198,1.31,2.73
1199,1.31,2.72
1200,1.32,2.72
1201,1.32,2.71
1202,1.32,2.71
1203,1.32,2.7
1204,1.32,2.7
1205,1.32,2.7
1206,1.32,2.69
1207,1.32,2.69
1208,1.32,2.68
1209,1.32,2.68
1210,1.32,2.67
1211,1.32,2.67
1212,1.33,2.66
1213,1.33,2.66
1214,1.33,2.65
1215,1.33,2.65
1216,1.33,2.64
1217,1.33,2.64
1218,1.33,2.64
1219,1.33,2.63
1220,1.33,2.63
1221,1.33,2.62
1222,1.3,2.62
1223,1.31,2.62
1224,1.31,2.61
1225,1.31,2.61
1226,1.32,2.61
1227,1.32,2.6
1228,1.32,2.6
1229,1.33,2.59
1230,1.33,2.59
1231,1.33,2.59
1232,1.33,2.58
1233,1.33,2.58
1234,1.33,2.57
1235,1.33,2.57
1236,1.33,2.56
1237,1.33,2.56
1238,1.33,2.55
1239,1.33,2.55
1240,1.33,2.55
1241,1.33,2.54
1242,1.33,2.54
1243,1.33,2.53
1244,1.34,2.53
1245,1.34,2.52
1246,1.34,2.52
1247,1.34,2.52
1248,1.34,2.51
1249,1.34,2.51
1250,1.34,2.5
1251,1.34,2.5
1252,1.34,2.49
1253,1.3,2.48
1254,1.3,2.48
1255,1.31,2.48
1256,1.31,2.48
1257,1.32,2.48
1258,1.32,2.48
1259,1.32,2.47
1260,1.32,2.47
1261,1.33,2.47
1262,1.33,2.46
1263,1.33,2.46
1264,1.33,2.45
1265,1.33,2.45
1266,1.34,2.45
1267,1.34,2.44
1268,1.34,2.44
1269,1.34,2.43
1270,1.34,2.43
1271,1.34,2.43
1272,1.34,2.42
1273,1.34,2.42
1274,1.34,2.41
1275,1.34,2.41
1276,1.34,2.41
1277,1.34,2.4
1278,1.34,2.4
1279,1.34,2.39
1280,1.34,2.39
1281,1.34,2.38
1282,1.35,2.38
1283,1.35,2.38
1284,1.35,2.37
1285,1.35,2.37
1286,1.35,2.36
1287,1.35,2.36
1288,1.35,2.36
1289,1.35,2.35
1290,1.35,2.35
1291,1.35,2.34
1292,1.35,2.34
1293,1.35,2.33
1294,1.34,2.33
1295,1.35,2.33
1296,1.35,2.32
1297,1.35,2.32
1298,1.35,2.31
1299,1.35,2.31
1300,1.35,2.31
1301,1.35,2.3
1302,1.35,2.3
1303,1.35,2.29
1304,1.35,2.29
1305,1.35,2.29
1306,1.35,2.28
1307,1.35,2.28
1308,1.35,2.27
1309,1.35,2.27
1310,1.35,2.27
1311,1.35,2.26
1312,1.31,2.25
1313,1.32,2.25
1314,1.32,2.25
1315,1.32,2.25
1316,1.33,2.25
1317,1.33,2.25
1318,1.33,2.25
1319,1.34,2.24
1320,1.34,2.24
1321,1.34,2.24
1322,1.34,2.23
1323,1.35,2.23
1324,1.35,2.23
1325,1.35,2.22
1326,1.35,2.22
1327,1.35,2.22
1328,1.35,2.21
1329,1.35,2.21
1330,1.35,2.21
1331,1.35,2.2
1332,1.36,2.2
1333,1.36,2.19
1334,1.36,2.19
1335,1.36,2.19
1336,1.36,2.18
1337,1.36,2.18
1338,1.36,2.18
1339,1.36,2.17
1340,1.36,2.17
1341,1.36,2.17
1342,1.36,2.16
1343,1.36,2.16
1344,1.36,2.16
1345,1.36,2.15
1346,1.36,2.15
1347,1.36,2.14
1348,1.36,2.14
1349,1.36,2.14
1350,1.36,2.13
1351,1.36,2.13
1352,1.33,2.11
1353,1.33,2.11
1354,1.34,2.11
1355,1.34,2.11
1356,1.35,2.11
1357,1.35,2.11
1358,1.35,2.11
1359,1.36,2.1
1360,1.36,2.1
