"Time","Subsystem #1|CTLs|Vars|I107d_rms","Subsystem #1|CTLs|Vars|I107q_rms","Subsystem #1|CTLs|Vars|Omega107V","Subsystem #1|CTLs|Vars|Tmpu_M1","Subsystem #1|CTLs|Vars|V107d_rms","Subsystem #1|CTLs|Vars|V107q_rms","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1","Subsystem #1|Machines|M1|SPDOUT1M1","Subsystem #1|Machines|M1|TELECT1M1"
0.0077,0.2613305797,-0.1025099719,376.9911511,-0.7692045965,0.4680107128,-0.01761030586,0.1256597011,0.03866378203,0.9595843337,-0.7694281289
0.0078,0.2613360254,-0.1025076083,376.9911779,-0.7692049828,0.4680070163,-0.01760806081,0.1256607774,0.0386627189,0.959584489,-0.7694386513
0.0079,0.2613410564,-0.102505171,376.9912044,-0.7692053865,0.4680030387,-0.01760605137,0.1256615911,0.03866155495,0.9595846501,-0.7694478575
0.008,0.2613456425,-0.1025026736,376.9912304,-0.7692058056,0.4679988022,-0.01760429552,0.1256621373,0.0386602949,0.9595848162,-0.7694556911
0.0081,0.261349756,-0.1025001298,376.9912558,-0.7692062374,0.4679943316,-0.01760280316,0.1256624122,0.0386589464,0.9595849863,-0.7694621034
0.0082,0.2613533717,-0.102497555,376.9912805,-0.7692066796,0.4679896527,-0.01760158147,0.1256624136,0.03865751767,0.9595851594,-0.7694670538
0.0083,0.2613564675,-0.1024949639,376.9913042,-0.7692071295,0.4679847927,-0.01760064092,0.1256621412,0.03865601604,0.9595853344,-0.7694705106
0.0084,0.2613590242,-0.1024923714,376.991327,-0.7692075847,0.4679797805,-0.01759998299,0.1256615959,0.03865445153,0.9595855105,-0.7694724509
0.0085,0.2613610259,-0.1024897929,376.9913485,-0.7692080424,0.4679746457,-0.01759961986,0.1256607813,0.03865283084,0.9595856865,-0.7694728613
0.0086,0.26136246,-0.1024872428,376.9913688,-0.7692085001,0.46796942,-0.01759955121,0.1256597019,0.03865116472,0.9595858615,-0.7694717378
0.0087,0.261363317,-0.102484737,376.9913876,-0.769208955,0.4679641344,-0.01759977706,0.125658364,0.03864946314,0.9595860344,-0.7694690854
0.0088,0.2613635915,-0.1024822901,376.9914048,-0.7692094046,0.4679588211,-0.01760029544,0.1256567752,0.0386477364,0.9595862042,-0.7694649184
0.0089,0.2613632811,-0.1024799167,376.9914205,-0.7692098462,0.4679535126,-0.01760110717,0.1256549455,0.03864599373,0.95958637,-0.7694592608
0.009,0.2613623872,-0.1024776307,376.9914344,-0.7692102772,0.4679482413,-0.01760220695,0.1256528858,0.03864424597,0.9595865308,-0.7694521459
0.0091,0.2613609148,-0.1024754461,376.9914465,-0.7692106952,0.4679430398,-0.01760358635,0.1256506083,0.03864250421,0.9595866856,-0.7694436155
0.0092,0.2613588725,-0.1024733761,376.9914567,-0.7692110978,0.4679379393,-0.01760523898,0.1256481268,0.03864077833,0.9595868336,-0.7694337203
0.0093,0.2613562722,-0.102471433,376.9914649,-0.7692114826,0.4679329715,-0.0176071503,0.125645456,0.0386390801,0.9595869739,-0.7694225193
0.0094,0.2613531293,-0.1024696286,376.9914711,-0.7692118473,0.4679281661,-0.0176093158,0.1256426125,0.03863741756,0.9595871057,-0.7694100796
0.0095,0.2613494628,-0.1024679731,376.9914753,-0.7692121899,0.467923553,-0.0176117193,0.1256396133,0.03863580198,0.9595872282,-0.7693964761
0.0096,0.2613452944,-0.1024664772,376.9914774,-0.7692125085,0.4679191595,-0.01761434481,0.1256364763,0.03863424339,0.9595873407,-0.7693817901
