"Time","Subsystem #1|CTLs|Vars|I107d","Subsystem #1|CTLs|Vars|I107d_rms","Subsystem #1|CTLs|Vars|I107q","Subsystem #1|CTLs|Vars|I107q_rms","Subsystem #1|CTLs|Vars|Omega107V","Subsystem #1|CTLs|Vars|PSTAT_TEST","Subsystem #1|CTLs|Vars|QSTAT_TEST","Subsystem #1|CTLs|Vars|Tmpu_M1","Subsystem #1|CTLs|Vars|V107d","Subsystem #1|CTLs|Vars|V107d_rms","Subsystem #1|CTLs|Vars|V107q","Subsystem #1|CTLs|Vars|V107q_rms","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1","Subsystem #1|Machines|M1|SPDOUT1M1","Subsystem #1|Machines|M1|TELECT1M1"
0.008,0.2138452465,0.261905869,-0.08381035346,-0.1026463006,376.9916677,0.1257301324,0.03866845151,-0.7688925188,0.3815289996,0.4672756856,-0.01429602809,-0.01750898708,0.1257278035,0.03866640996,0.9594647564,-0.769796965
0.0081,0.2138483074,0.2619096177,-0.08380913473,-0.1026448079,376.9917117,0.1257278825,0.03866641048,-0.7688940819,0.381516853,0.467260809,-0.01429607149,-0.01750904024,0.1257246872,0.03866430313,0.9594653556,-0.7697955957
0.0082,0.2138498456,0.2619115017,-0.0838080018,-0.1026434204,376.9917524,0.1257247662,0.03866430365,-0.7688956399,0.3815045916,0.467245792,-0.01429660662,-0.01750969564,0.1257207201,0.03866214049,0.9594659497,-0.7697892871
0.0083,0.2138498549,0.261911513,-0.08380695876,-0.1026421429,376.9917896,0.1257207991,0.03866214101,-0.7688971843,0.3814922753,0.4672307076,-0.01429763108,-0.01751095034,0.1257159221,0.03865993158,0.9594665352,-0.7697780727
0.0084,0.2138483361,0.2619096529,-0.08380600916,-0.1026409799,376.991823,0.1257160011,0.0386599321,-0.7688987067,0.3814799637,0.4672156291,-0.01429913624,-0.01751279378,0.1257103168,0.03865768747,0.959467109,-0.7697620096
0.0085,0.2138452978,0.2619059318,-0.08380515621,-0.1026399353,376.9918526,0.1257103958,0.03865768798,-0.7689001987,0.3814677168,0.4672006298,-0.01430112004,-0.01751522342,0.1257039327,0.03865541617,0.9594676681,-0.7697411793
0.0086,0.2138407559,0.2619003691,-0.08380440206,-0.1026390116,376.9918782,0.1257040117,0.03865541668,-0.7689016521,0.3814555948,0.4671857834,-0.01430357092,-0.01751822513,0.1256968015,0.03865312886,0.9594682092,-0.7697156868
0.0087,0.2138347336,0.2618929933,-0.08380374945,-0.1026382123,376.9918996,0.1256968805,0.03865312938,-0.768903059,0.3814436571,0.4671711627,-0.01430647602,-0.01752178314,0.1256889587,0.03865083615,0.9594687294,-0.7696856597
0.0088,0.2138272616,0.261883842,-0.08380320009,-0.1026375395,376.9919168,0.1256890377,0.03865083667,-0.7689044116,0.3814319626,0.46715684,-0.01430982303,-0.01752588236,0.1256804439,0.0386485478,0.9594692259,-0.7696512491
0.0089,0.2138183778,0.2618729616,-0.08380275512,-0.1026369945,376.9919296,0.1256805229,0.03864854832,-0.7689057024,0.3814205703,0.4671428874,-0.01431359544,-0.0175305026,0.1256713,0.03864627454,0.9594696958,-0.7696126278
0.009,0.2138081268,0.2618604068,-0.08380241558,-0.1026365787,376.991938,0.125671379,0.03864627506,-0.7689069242,0.3814095376,0.4671293751,-0.01431777391,-0.01753562016,0.1256615732,0.03864402726,0.9594701366,-0.7695699907
0.0091,0.2137965607,0.2618462412,-0.08380218191,-0.1026362925,376.991942,0.1256616521,0.03864402777,-0.7689080702,0.3813989217,0.4671163734,-0.01432234315,-0.01754121632,0.1256513138,0.03864181483,0.9594705457,-0.769523554
0.0092,0.2137837379,0.2618305365,-0.08380205395,-0.1026361358,376.9919414,0.1256513927,0.03864181535,-0.7689091341,0.3813887785,0.4671039505,-0.01432728069,-0.01754726355,0.1256405746,0.03863964835,0.959470921,-0.7694735547
0.0093,0.2137697235,0.2618133725,-0.08380203203,-0.1026361089,376.9919364,0.1256406536,0.03863964886,-0.7689101096,0.3813791623,0.4670921731,-0.01433256113,-0.01755373074,0.1256294114,0.03863753897,0.9594712601,-0.7694202489
0.0094,0.2137545892,0.2617948368,-0.08380211575,-0.1026362115,376.9919269,0.1256294903,0.03863753948,-0.7689109914,0.3813701256,0.4670811054,-0.01433816127,-0.01756058948,0.1256178827,0.03863549632,0.9594715612,-0.7693639116
0.0095,0.2137384125,0.2617750245,-0.08380230411,-0.1026364422,376.9919129,0.1256179616,0.03863549684,-0.7689117743,0.3813617194,0.46707081,-0.01434405019,-0.0175678019,0.1256060494,0.03863353222,0.9594718225,-0.7693048356
