"Time","Subsystem #1|CTLs|Vars|I107d","Subsystem #1|CTLs|Vars|I107d_rms","Subsystem #1|CTLs|Vars|I107q","Subsystem #1|CTLs|Vars|I107q_rms","Subsystem #1|CTLs|Vars|Omega107I","Subsystem #1|CTLs|Vars|Omega107V","Subsystem #1|CTLs|Vars|PSTAT_TEST","Subsystem #1|CTLs|Vars|QSTAT_TEST","Subsystem #1|CTLs|Vars|Tmpu_M1","Subsystem #1|CTLs|Vars|V107d","Subsystem #1|CTLs|Vars|V107d_rms","Subsystem #1|CTLs|Vars|V107q","Subsystem #1|CTLs|Vars|V107q_rms","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1","Subsystem #1|Machines|M1|SPDOUT1M1","Subsystem #1|Machines|M1|TELECT1M1"
0.0073,0.2295270266,0.2811120487,-0.0085428414,-0.01046280119,376.9918471,376.9916967,0.1224526858,0.04802716605,-0.7688915251,0.3815171162,0.4672611314,-0.01429585079,-0.01750876994,0.1257255456,0.0386651148,0.9594643734,-0.7697946976
0.0074,0.2295285752,0.2811139453,-0.008541073281,-0.0104606357,376.9919607,376.9917385,0.1224509164,0.0480246518,-0.7688930859,0.3815048857,0.4672461521,-0.01429622202,-0.0175092246,0.1257218597,0.03866296965,0.9594649696,-0.7697900325
0.0075,0.2295287108,0.2811141113,-0.008539894573,-0.01045919208,376.9920695,376.9917768,0.1224483211,0.04802202031,-0.7688946361,0.3814925803,0.4672310811,-0.01429708395,-0.01751028024,0.1257173359,0.03866077491,0.9594655584,-0.7697804475
0.0076,0.229527433,0.2811125464,-0.008539309247,-0.01045847521,376.9921727,376.9918116,0.1224449129,0.04801928395,-0.7688961669,0.3814802598,0.4672159917,-0.01429843121,-0.01751193029,0.1257119965,0.03865854079,0.9594661366,-0.769765992
0.0077,0.2295247488,0.281109259,-0.008539318483,-0.01045848652,376.99227,376.9918425,0.1224407087,0.04801645587,-0.7688976702,0.381467984,0.467200957,-0.014300255,-0.01751416397,0.125705868,0.03865627793,0.9594667009,-0.7697467389
0.0078,0.2295206718,0.2811042656,-0.008539920361,-0.01045922366,376.9923607,376.9918694,0.1224357304,0.04801354771,-0.7688991376,0.3814558129,0.4671860505,-0.01430255086,-0.01751697581,0.1256989814,0.03865399484,0.9594672484,-0.7697227856
0.0079,0.2295152222,0.2810975913,-0.008541109775,-0.01046068039,376.9924443,376.9918923,0.122430003,0.04801057309,-0.7689005611,0.3814438064,0.4671713456,-0.01430530671,-0.01752035103,0.1256913711,0.03865170237,0.959467776,-0.7696942525
0.008,0.2295084274,0.2810892694,-0.00854287958,-0.01046284795,376.9925205,376.9919109,0.1224235553,0.04800754604,-0.7689019329,0.3814320238,0.4671569149,-0.01430850764,-0.01752427135,0.125683075,0.03864941148,0.9594682808,-0.7696612826
0.0081,0.2295003214,0.2810793416,-0.008545219411,-0.01046571365,376.9925888,376.9919252,0.1224164199,0.04800448012,-0.7689032453,0.3814205235,0.46714283,-0.01431214059,-0.01752872078,0.1256741351,0.03864713171,0.95946876,-0.7696240417
0.0082,0.2294909446,0.2810678575,-0.008548115904,-0.01046926111,376.992649,376.991935,0.122408633,0.04800139084,-0.7689044911,0.3814093639,0.4671291624,-0.01431618469,-0.01753367378,0.1256645963,0.03864487485,0.9594692108,-0.7695827172
0.0083,0.229480344,0.2810548745,-0.008551553436,-0.01047347121,376.9927005,376.9919405,0.1224002351,0.04799829059,-0.7689056633,0.3813986021,0.4671159819,-0.01432062712,-0.01753911463,0.125654508,0.038642649,0.9594696309,-0.7695375186
0.0084,0.2294685728,0.2810404577,-0.008555513041,-0.01047832072,376.9927433,376.9919414,0.1223912693,0.04799519508,-0.7689067554,0.3813882948,0.467103358,-0.0143254446,-0.0175450148,0.1256439219,0.03864046587,0.9594700177,-0.769488676
0.0085,0.2294556905,0.2810246802,-0.008559974446,-0.0104837848,376.992777,376.9919379,0.1223817818,0.04799211913,-0.7689077612,0.3813784963,0.4670913573,-0.01433061355,-0.01755134544,0.1256328928,0.0386383361,0.9594703692,-0.769436439
0.0086,0.2294417626,0.281007622,-0.008564914189,-0.01048983473,376.9928015,376.9919298,0.1223718224,0.04798907794,-0.7689086751,0.3813692601,0.4670800454,-0.01433611039,-0.01755807767,0.1256214784,0.03863626976,0.9594706833,-0.7693810766
0.0087,0.2294268602,0.2809893704,-0.008570306492,-0.01049643892,376.9928166,376.9919173,0.1223614434,0.04798608694,-0.7689094916,0.3813606377,0.4670694852,-0.01434190816,-0.01756517847,0.125609739,0.03863427753,0.9594709581,-0.7693228761
0.0088,0.22941106,0.2809700192,-0.008576123516,-0.01050356329,376.9928224,376.9919004,0.1223506995,0.04798316201,-0.7689102062,0.3813526787,0.4670597375,-0.0143479768,-0.017572611,0.125597737,0.03863237033,0.9594711921,-0.7692621412
0.0089,0.229394444,0.2809496688,-0.008582335127,-0.01051117093,376.9928187,376.9918792,0.1223396489,0.04798031728,-0.7689108146,0.3813454305,0.4670508602,-0.01435429094,-0.01758034421,0.1255855377,0.03863055677,0.9594713839,-0.7691991924
0.009,0.2293770987,0.2809284253,-0.008588908878,-0.0105192221,376.9928055,376.9918538,0.1223283512,0.04797756847,-0.7689113132,0.3813389379,0.4670429085,-0.01436081806,-0.01758833827,0.1255732075,0.03862884761,0.9594715322,-0.7691343648
0.0091,0.229359116,0.280906401,-0.008595811223,-0.01052767571,376.992783,376.9918243,0.1223168678,0.04797493131,-0.7689116988,0.3813332428,0.4670359335,-0.0143675233,-0.01759655047,0.1255608142,0.0386272534,0.9594716362,-0.7690680063
0.0092,0.2293405915,0.2808837132,-0.00860300641,-0.01053648798,376.9927513,376.9917907,0.1223052619,0.04797242059,-0.7689119692,0.3813283836,0.4670299821,-0.01437437426,-0.01760494115,0.1255484272,0.03862578298,0.9594716951,-0.7690004769
0.0093,0.2293216247,0.2808604838,-0.008610456768,-0.01054561277,376.9927104,376.9917534,0.1222935979,0.04797005251,-0.7689121223,0.3813243955,0.4670250978,-0.01438133144,-0.01761346193,0.125536116,0.03862444706,0.9594717085,-0.7689321462
